country_short,season,Rnull_eff,Rnull_eff_Rhat
DK,2020/2021,1.8170058401557894,1.0085918025555336
DK,2021/2022,1.115278386947394,1.021567687153758
DK,2022/2023,1.0765253909449943,1.0257513489491208
DK,2023/2024,1.1004852103281257,1.0142821428456104
EE,2014/2015,1.2501508765403426,1.834713507487471
EE,2015/2016,1.0018437779348235,1.013274924052628
EE,2016/2017,1.298007528574106,0.9954382919242097
EE,2017/2018,1.061708074814633,0.9838981396911002
EE,2018/2019,1.187575079138947,1.028868180650358
EE,2019/2020,1.1543767291887315,0.9956893616326175
EE,2020/2021,1.4118928806345388,0.9964420677531041
EE,2021/2022,1.112866242008729,1.0818115485239561
EE,2022/2023,1.1715768043458554,1.0066044796794056
EE,2023/2024,1.1479824267597762,1.0021802665665314
FI,2015/2016,1.2474664444702388,1.0084866611327128
FI,2016/2017,1.2892046535865043,1.0285920197690483
FI,2017/2018,1.2301634506111137,1.013231333292492
FI,2018/2019,1.2224257362969317,0.9982759055463972
FI,2019/2020,1.1465649608367396,1.0935941844945984
FI,2022/2023,1.3692525308748738,1.0001658634786443
FI,2023/2024,1.0828571576293002,0.991189610185066
FR,2014/2015,1.3430663442066968,1.0427999756386988
FR,2015/2016,1.3177379311995294,0.9954510399897597
FR,2016/2017,1.3998488060364822,0.9935440850525233
FR,2017/2018,1.2657252899965585,1.0063152962607704
FR,2018/2019,1.4131416033772983,1.0127976367718583
FR,2019/2020,1.2474957642130013,1.038033392919845
FR,2020/2021,2.5717248186083665,1.1013227274176736
FR,2021/2022,1.1333213170299077,1.1346055216440667
FR,2022/2023,1.1659501308760836,2.548885756304422
FR,2023/2024,1.3011800653920165,1.0115256011858922
GR,2014/2015,1.2126479034536397,1.0078196003867053
GR,2015/2016,1.0377804455574846,1.0175747125839294
GR,2016/2017,1.8194273115626327,1.003562257958406
GR,2017/2018,1.2580888880438506,1.1743458610006656
GR,2018/2019,1.0313474974816308,1.1477801366488793
GR,2019/2020,1.0298993051689223,1.0141069386040424
GR,2020/2021,1.7972115306567613,1.0096389032343274
GR,2021/2022,1.187563261946947,1.0192985974771471
GR,2022/2023,1.0703397143690763,1.0855561317629676
GR,2023/2024,1.102753311545212,1.421388573609676
HU,2014/2015,1.0468948967597234,1.0262614817562867
HU,2015/2016,0.9913164723590583,1.018989668415036
HU,2016/2017,1.0251741572347175,1.019035677251636
HU,2017/2018,1.183912730288447,1.1921876070401534
HU,2018/2019,1.0408221693057582,1.0598870725778273
HU,2019/2020,1.0496267877992904,1.0016153636576324
HU,2020/2021,1.751021911632935,1.0039224474574886
HU,2021/2022,1.0499774960905497,1.160082876554594
HU,2022/2023,1.2216768268444664,0.9935955133494976
HU,2023/2024,1.2671846303963106,1.2569617555233676
IS,2014/2015,1.7683229845921706,0.9927918254303904
IS,2015/2016,1.7683229845921706,0.9927918254303904
IS,2016/2017,1.7752243404096997,1.0155105477486075
IS,2017/2018,1.7752243404096997,1.0155105477486075
IS,2018/2019,1.7683229845921706,0.9927918254303904
IS,2021/2022,1.7752243404096997,1.0155105477486075
IE,2014/2015,1.2189674072376913,1.0055860971958968
IE,2015/2016,1.1882092664440762,1.0256143899419392
IE,2016/2017,1.3085429542099365,1.0932885394046052
IE,2017/2018,1.275516100737744,1.0118315917140865
IE,2018/2019,1.2792771523112882,1.0078471181974504
IE,2019/2020,1.1545359886337467,1.0014145569253992
IE,2020/2021,1.7385190022559887,0.9967234651307436
IE,2021/2022,1.0770693616554234,1.0133038769039149
IE,2022/2023,1.2411855076698666,0.9964197364422692
IE,2023/2024,1.253351807865813,1.0062443997822794
IT,2014/2015,1.192050074996721,5.111531315248816
IT,2015/2016,1.300116083717898,1.0208250056235533
IT,2016/2017,0.9854028729382609,1.0894429742155072
IT,2017/2018,1.186230199636253,3.097414432040414
IT,2018/2019,1.2990255254499643,1.011579694890554
IT,2019/2020,1.2666291681604263,1.0658764641837404
IT,2020/2021,1.7891907811021424,0.9995191986432413
IT,2021/2022,1.0724718499943475,1.015417235716265
IT,2022/2023,0.9602972057458388,1.1022623296048535
IT,2023/2024,0.980209085650786,1.3920689950625145
LV,2014/2015,1.0538764151815625,1.0050202288604364
LV,2015/2016,1.0585217854043725,1.040648819003873
LV,2016/2017,1.3062932876457927,1.7396053602911785
LV,2017/2018,1.1938826627285348,0.9930390968375474
LV,2018/2019,1.2135450316819187,0.9907939814022005
LV,2019/2020,1.0667724414365174,1.104829906442466
LV,2021/2022,1.7525665054951174,1.0219732520958609
LV,2022/2023,1.0322682827613507,1.019507860801684
LV,2023/2024,1.8110936460619267,1.0054541104129378
LT,2014/2015,1.003112966170739,1.0176759544790805
LT,2015/2016,1.0319086340707209,1.0051470713528583
LT,2016/2017,1.0207089510518246,1.0887146950072988
LT,2017/2018,1.4155485672319807,2.903521885226232
LT,2018/2019,1.2798176043098477,2.8036501566288936
LT,2019/2020,1.210997208089255,1.1740637728101988
LT,2022/2023,0.9777133562975544,1.0195102001294363
LT,2023/2024,1.3015790960771718,1.0025212762700768
NL,2014/2015,1.172979550015284,0.9956344386138045
NL,2015/2016,1.0878156066982623,1.2040622523331213
NL,2016/2017,1.2481312282315709,0.9972029739285868
NL,2017/2018,1.157545151104526,1.0357387073846467
NL,2018/2019,1.1575042590270894,1.020626230803448
NL,2019/2020,1.1981293910722404,1.0364066560183387
NL,2020/2021,1.7862918688048997,3.1844316006969184
NL,2021/2022,1.1068097478371786,1.00153664511415
NL,2022/2023,1.2064058500497732,1.0149662412612968
NL,2023/2024,1.1307043998618387,0.9991242693464469
NO,2014/2015,1.1935046017130073,0.992583383299382
NO,2015/2016,1.1133088944543674,1.0454441293105043
NO,2016/2017,1.2049154677652958,1.0161550870483593
NO,2017/2018,1.2687881450980887,0.9866499332343486
NO,2018/2019,1.1773465919870776,1.7363105532461471
NO,2019/2020,1.1577112994740197,1.055346355010383
NO,2021/2022,0.9943274899729351,1.018002384505982
NO,2022/2023,1.0613855938531713,1.2146197277034787
NO,2023/2024,1.1903518235385235,1.0261873086900595
PL,2014/2015,1.273520150799153,1.0173991499740118
PL,2015/2016,1.1060572625000142,1.0157211962059862
PL,2016/2017,1.2002798410232456,1.0111952915609783
PL,2017/2018,1.2484871602616412,1.287833448633883
PL,2018/2019,1.2311726593717849,1.006414953786727
PL,2019/2020,1.0656527485727216,1.0164492918353905
PL,2020/2021,0.9637459892051663,0.9930533008565287
PL,2021/2022,1.1279640471009438,1.0007524088096873
PL,2022/2023,1.145179098915475,1.0059568832331067
PL,2023/2024,1.1569915364053973,1.015550246983877
PT,2014/2015,1.32963500827666,1.0392057195328113
PT,2015/2016,1.2152202791002307,1.0083952085625438
PT,2016/2017,1.3525764089861845,1.0086905552137668
PT,2017/2018,1.2097719547839658,1.0130173724265379
PT,2018/2019,1.2975296816843376,1.141169166512213
PT,2019/2020,1.2018647879210924,1.0009115718569883
PT,2021/2022,1.1258788050079858,1.0584279963170315
PT,2022/2023,1.1469754094832614,1.0048715425908248
RO,2014/2015,0.9576449925440945,1.0212533877890204
SK,2014/2015,1.0796923748022857,1.0470365324013562
SK,2015/2016,0.9973435883881308,1.0276475203688984
SK,2016/2017,1.0403978087908956,1.5711287320578646
SK,2017/2018,1.0777638649604044,1.1933883133634375
SK,2018/2019,1.060671278693985,1.138290224492192
SK,2019/2020,1.0628743910620595,1.022389723530084
SK,2020/2021,1.0563663738745017,1.0082967065882096
SK,2021/2022,1.0505628186857587,1.0254739958369863
SK,2022/2023,0.9784041604670092,1.0800007734195136
SI,2014/2015,1.2749063924805781,1.008503540050228
SI,2015/2016,1.3070617777821707,1.0161949741666811
SI,2016/2017,1.454959056759308,1.0113550488038374
SI,2017/2018,1.3072030778256365,1.0106534912672165
SI,2018/2019,1.320414014042796,0.9966351107934197
SI,2019/2020,1.4825418438203963,1.037162089017958
SI,2022/2023,1.2251074441280032,0.9947138308848167
SI,2023/2024,1.4124952323439983,1.0138081729304802
ES,2014/2015,1.3406858549704908,3.394054849855648
ES,2015/2016,1.293324168154485,1.0020303160023198
ES,2016/2017,1.3617859635702896,1.0237566474854123
ES,2017/2018,1.3158468304563113,1.0107576277527945
ES,2018/2019,1.3914655467537975,1.0116197326263767
ES,2019/2020,1.3679387469540156,1.0015662593996275
