country_short,season,Rnull_eff,Rnull_eff_Rhat
AT,2014/2015,1.1173866112179511,1.1168893488571978
AT,2015/2016,1.0170436012526234,1.0211858653028418
AT,2016/2017,1.0155540175364846,1.059438145729243
AT,2017/2018,1.083806757541873,1.3755014113816564
AT,2018/2019,1.127941246591854,1.2207929996846787
AT,2019/2020,1.0379629955843777,1.0446526327590147
AT,2020/2021,1.7370707956073368,0.99221238078342755
AT,2021/2022,1.0579700912569787,1.0671279834342737
AT,2022/2023,1.0046098434718664,1.0330734327912536
AT,2023/2024,1.191896444538606,1.1728065355102701
BE,2014/2015,1.2464958706889002,1.0357348887378197
BE,2015/2016,1.1532209021012425,1.0531496908499791
BE,2016/2017,1.1326195552347347,1.0611136404345762
BE,2017/2018,1.2259282054229268,1.783582761318385
BE,2018/2019,1.014721899721425,1.202968395400403
BE,2019/2020,1.153274374852388,1.3410550907544543
BE,2020/2021,1.7645195981938668,1.0081446241435275
BE,2021/2022,1.1442594713291312,1.1073970817273868
BE,2022/2023,1.2047147942705356,0.9974141098171203
BE,2023/2024,1.26620494934804,2.299880326952125
HR,2014/2015,1.7503747228168294,0.9955080912310654
HR,2015/2016,1.7503747228168294,0.9955080912310654
HR,2016/2017,1.7654725188322709,0.9963126823418326
HR,2017/2018,1.7654725188322709,0.9963126823418326
HR,2018/2019,1.7503747228168294,0.9955080912310654
HR,2019/2020,1.7584456504822708,1.0110784996319728
HR,2022/2023,2.6241943136396326,1.215815660232979
HR,2023/2024,1.7503747228168294,0.9955080912310654
CZ,2014/2015,1.2576391399887028,1.017712777588357
CZ,2015/2016,1.1599660372576823,1.0223757754568048
CZ,2016/2017,1.2866119671063825,1.0016278054002083
CZ,2017/2018,1.297868053514562,1.011783861578666
CZ,2018/2019,1.278203511578814,1.0192092966226027
CZ,2019/2020,1.2172521563051397,0.9935720437773196
CZ,2021/2022,1.0101400380724852,0.9923119516882455
CZ,2022/2023,1.22699669473367,0.9957861440157847
CZ,2023/2024,1.3405326555004045,1.0560004174238786
DK,2014/2015,1.2439528265256607,1.00756739831733
DK,2015/2016,1.2402184203282582,0.98979086383267
DK,2016/2017,1.1954509273336453,1.0147216256167468
DK,2017/2018,1.2170650663067106,0.9929010791102068
DK,2018/2019,1.222112290800573,0.9969601275860823
DK,2019/2020,1.2018542598974788,1.019977694902405
